global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,7.3929553,0.9822286,,,,,,,,
1,,,0.9822292931383372,0.9824702022471912,89000000.0,0.9825530178296888,89274637.0,174.4430491924286,174.64196729660034,0.0
100,0.015364913,0.13184442,,,,,,,,
200,0.057559446,0.13072847,,,,,,,,
300,0.096673496,0.12643929,,,,,,,,
400,0.05121418,0.12661238,,,,,,,,
441,,,0.1262207143529536,0.1272385168539326,89000000.0,0.1295258697047404,89274637.0,713.028555393219,1911.3643145561216,0.0
500,0.08757393,0.1244783,,,,,,,,
600,0.0557275,0.12513714,,,,,,,,
700,0.06309276,0.12535185,,,,,,,,
800,,,0.124606224436195,0.1259380449438202,89000000.0,0.1282921038368377,89274637.0,1128.044245004654,3566.3583238124847,0.0
800,,,,,,,,1128.044245004654,,0.0
