global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,preemption_count
0,54.664207458496094,32.53317642211914,,,,,,,,,,,
1,,,32.01154687889434,1.73154741039348,30.89415373216797,1.592622990392507,5348.0,30.947157881153625,1.6540125525562124,2472.0,6.827117443084717,6.829051017761231,0.0
1,55.72718048095703,32.011844635009766,,,,,,,,,,,
2,57.12944793701172,32.4417610168457,,,,,,,,,,,
3,60.441776275634766,32.40056228637695,,,,,,,,,,,
4,63.30841445922852,31.893260955810547,,,,,,,,,,,
5,71.23487854003906,31.9631576538086,,,,,,,,,,,
6,84.4216537475586,31.984495162963867,,,,,,,,,,,
7,91.9423828125,30.652502059936523,,,,,,,,,,,
8,110.12432098388672,30.652284622192383,,,,,,,,,,,
9,124.92804718017578,29.830659866333008,,,,,,,,,,,
10,138.4911651611328,29.004364013671875,,,,,,,,,,,
11,154.04347229003906,28.22241973876953,,,,,,,,,,,
12,161.92283630371094,27.177953720092773,,,,,,,,,,,
13,163.87548828125,25.45147132873535,,,,,,,,,,,
14,163.6783447265625,23.89138603210449,,,,,,,,,,,
15,157.6802215576172,21.70881080627441,,,,,,,,,,,
16,158.87538146972656,20.35390281677246,,,,,,,,,,,
17,153.47409057617188,18.44491958618164,,,,,,,,,,,
18,146.55979919433594,16.545324325561523,,,,,,,,,,,
19,135.26638793945312,14.622052192687988,,,,,,,,,,,
20,121.33035278320312,12.8076171875,,,,,,,,,,,
21,107.34198760986328,11.389533042907717,,,,,,,,,,,
22,92.16012573242188,10.198602676391602,,,,,,,,,,,
23,70.35523223876953,9.052468299865724,,,,,,,,,,,
24,53.629188537597656,8.331828117370605,,,,,,,,,,,
25,37.8466796875,7.835504531860352,,,,,,,,,,,
26,24.561737060546875,7.504688739776611,,,,,,,,,,,
27,14.231915473937988,7.313758850097656,,,,,,,,,,,
28,7.000028133392334,7.238943576812744,,,,,,,,,,,
29,3.4534718990325928,7.216224670410156,,,,,,,,,,,
30,5.053974628448486,7.204070568084717,,,,,,,,,,,
31,7.190423965454102,7.20614767074585,,,,,,,,,,,
32,8.963518142700195,7.228772640228271,,,,,,,,,,,
33,9.71860408782959,7.225589275360107,,,,,,,,,,,
34,10.419257164001465,7.2451090812683105,,,,,,,,,,,
35,10.53792667388916,7.232869148254394,,,,,,,,,,,
36,10.351242065429688,7.226191520690918,,,,,,,,,,,
37,10.08807373046875,7.203202724456787,,,,,,,,,,,
38,8.892576217651367,7.181332588195801,,,,,,,,,,,
39,8.547901153564453,7.146631717681885,,,,,,,,,,,
40,7.258732795715332,7.118886470794678,,,,,,,,,,,
41,6.619199752807617,7.098646640777588,,,,,,,,,,,
42,5.473540782928467,7.068117618560791,,,,,,,,,,,
43,4.4667744636535645,7.053182601928711,,,,,,,,,,,
44,3.623914003372192,7.035020351409912,,,,,,,,,,,
45,3.195764541625977,7.007935047149658,,,,,,,,,,,
46,3.063783407211304,6.990283012390137,,,,,,,,,,,
47,3.368055582046509,6.98463773727417,,,,,,,,,,,
48,4.223682403564453,6.98380184173584,,,,,,,,,,,
49,4.67822265625,6.972972869873047,,,,,,,,,,,
50,4.162089824676514,6.940634250640869,,,,,,,,,,,
51,4.082393169403076,6.926368236541748,,,,,,,,,,,
52,3.8045694828033447,6.915337562561035,,,,,,,,,,,
53,3.782616853713989,6.906182289123535,,,,,,,,,,,
54,4.141766548156738,6.905020713806152,,,,,,,,,,,
55,4.1055402755737305,6.873668670654297,,,,,,,,,,,
56,3.3117563724517822,6.839908599853516,,,,,,,,,,,
57,3.3836913108825684,6.841248035430908,,,,,,,,,,,
58,2.9779202938079834,6.835134029388428,,,,,,,,,,,
59,2.888413429260254,6.821115016937256,,,,,,,,,,,
60,2.801342248916626,6.811553955078125,,,,,,,,,,,
61,2.7168264389038086,6.782770156860352,,,,,,,,,,,
62,2.7586147785186768,6.782318115234375,,,,,,,,,,,
63,3.02476453781128,6.744626998901367,,,,,,,,,,,
64,2.789851427078247,6.739101886749268,,,,,,,,,,,
65,2.715140581130981,6.731605529785156,,,,,,,,,,,
66,2.685340404510498,6.702658176422119,,,,,,,,,,,
67,2.643848419189453,6.6855010986328125,,,,,,,,,,,
68,2.6152048110961914,6.67629337310791,,,,,,,,,,,
69,3.386131763458252,6.67907190322876,,,,,,,,,,,
70,2.997167587280273,6.63880729675293,,,,,,,,,,,
71,3.183821201324463,6.639503479003906,,,,,,,,,,,
72,2.626457452774048,6.617744445800781,,,,,,,,,,,
73,2.679504632949829,6.603770732879639,,,,,,,,,,,
74,2.4085841178894043,6.592255115509033,,,,,,,,,,,
75,2.606022596359253,6.580523490905762,,,,,,,,,,,
76,2.2765233516693115,6.540822505950928,,,,,,,,,,,
77,2.2226290702819824,6.548557281494141,,,,,,,,,,,
78,2.1629855632781982,6.534519195556641,,,,,,,,,,,
79,2.24716591835022,6.527047634124756,,,,,,,,,,,
80,2.514697790145874,6.504284858703613,,,,,,,,,,,
81,2.368574619293213,6.482080459594727,,,,,,,,,,,
82,2.2021639347076416,6.472412109375,,,,,,,,,,,
83,2.318923234939575,6.467176914215088,,,,,,,,,,,
84,1.9604506492614744,6.459111213684082,,,,,,,,,,,
85,2.1320347785949707,6.433551788330078,,,,,,,,,,,
86,1.775947093963623,6.420260906219482,,,,,,,,,,,
87,1.7355852127075195,6.406038284301758,,,,,,,,,,,
88,2.0615105628967285,6.395468711853027,,,,,,,,,,,
89,2.208920478820801,6.402637481689453,,,,,,,,,,,
90,1.698485255241394,6.362479209899902,,,,,,,,,,,
91,1.972780704498291,6.361985683441162,,,,,,,,,,,
