global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,8.342932,2.050036,,,,,,,,
1,,,2.0516193044633004,2.043297617977528,89000000.0,2.047529087124712,89274637.0,163.02994418144226,163.22642469406128,0.0
100,0.007732414,0.13951081,,,,,,,,
200,0.016555943,0.1383401,,,,,,,,
300,0.04712335,0.13741934,,,,,,,,
400,0.102039464,0.13626315,,,,,,,,
466,,,0.1364789433651237,0.1365175842696629,89000000.0,0.1397610835426863,89274637.0,701.4890723228455,1828.594742059708,0.0
500,0.02211774,0.13733442,,,,,,,,
600,0.047997978,0.13692217,,,,,,,,
700,0.021091213,0.13475534,,,,,,,,
800,,,0.1372352134137578,0.1369227078651685,89000000.0,0.1401722641560558,89274637.0,1052.873468875885,3368.755516767502,0.0
800,,,,,,,,1052.873468875885,,0.0
