global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,preemption_count
0,5.2784047,0.5323321,,,,,,,,
1,,,0.5326289274483765,0.5287150561797753,89000000.0,0.5321396266220606,89274637.0,170.40497517585754,170.59886074066162,0.0
100,0.20970428,0.12766032,,,,,,,,
200,0.047565963,0.12553422,,,,,,,,
300,0.08907075,0.12770079,,,,,,,,
400,0.04433369,0.12428817,,,,,,,,
470,,,0.125945180369441,0.1268641797752809,89000000.0,0.1292004917365276,89274637.0,709.5915353298187,1897.4383976459503,0.0
500,0.012295598,0.124793574,,,,,,,,
600,0.020037195,0.12403852,,,,,,,,
700,0.009931583,0.123407915,,,,,,,,
800,,,0.1251560910121757,0.1259584382022472,89000000.0,0.1283992003238277,89274637.0,1056.5582463741302,3367.7578885555267,0.0
800,,,,,,,,1056.5582463741302,,0.0
